Name,# Contribs,Party,Referendum Stance,Constituency Leave %
John Bercow,11204,Speaker,unknown,48.9
Mrs Theresa May,7812,Conservative,remain,45.0
Andrea Leadsom,3985,Conservative,leave,53.3
Chris Grayling,3474,Conservative,leave,47.8
Sajid Javid,2652,Conservative,remain,55.4
Sir David Lidington,2505,Conservative,remain,51.8
Mr David Cameron,2269,Conservative,remain,46.3
Mr Jeremy Hunt,2153,Conservative,remain,40.7
Greg Clark,1979,Conservative,remain,44.6
Sir Lindsay Hoyle,1699,Labour,unknown,56.7
